id;x_wgs;y_wgs
5848196;24.829227613186337;60.325404161559696
5848197;24.833750981666835;60.3254779587922
5848198;24.838274373858336;60.32555160221458
5848199;24.842797789711536;60.32562509182518
5848200;24.847321229177165;60.325698427622456
5848201;24.8518446922059;60.32577160960483
5848202;24.856368178748472;60.325844637770665
5848203;24.860891688755512;60.32591751211842
5848204;24.865415222177784;60.32599023264648
5848205;24.869938778965942;60.3260627993533
5848206;24.874462359070698;60.32613521223731
5848235;25.005656103134914;60.3281682659877
5848236;25.010180359801936;60.32823606347147
5848237;25.014704638256223;60.328303707085254
5848238;25.01922893844847;60.328371196827625
5848239;25.02375326032933;60.32843853269709
5848240;25.028277603849396;60.328505714692184
5848241;25.032801968959333;60.32857274281145
5848244;25.046375193334764;60.32877290389983
5848245;25.050899644310523;60.32883931650132
5848246;25.055424116629357;60.32890557521976
5848247;25.059948610241886;60.328971680053705
5848248;25.064473125098683;60.329037631001704
5848249;25.068997661150416;60.32910342806234
5848250;25.073522218347716;60.329169071234176
5848251;25.078046796641196;60.32923456051582
5848252;25.08257139598149;60.32929989590583
5848253;25.087096016319208;60.32936507740277
5848254;25.091620657604977;60.32943010500524
5848255;25.096145319789407;60.32949497871187
5848256;25.10067000282313;60.329559698521194
5848257;25.105194706656754;60.329624264431835
5848258;25.109719431240897;60.32968867644236
5848259;25.114244176526178;60.32975293455143
5850006;24.535430968218265;60.31803486857153
5850030;24.643952186681698;60.32000325710676
5850044;24.707263130327302;60.32111059415984
5850045;24.71178553032513;60.321188536592544
5850046;24.71630795535873;60.32126632527341
5850047;24.72083040537881;60.32134396020071
5850049;24.729875380181543;60.321498768787826
5850050;24.734397904865716;60.32157594244434
5850066;24.806761637695256;60.32278980842309
5850071;24.8293765737593;60.323161068059626
5850072;24.83389963243411;60.3232348586094
5850073;24.83842271481461;60.32330849536295
5850074;24.842945820851483;60.32338197831865
5850075;24.847468950495465;60.323455307474916
5850076;24.85199210369727;60.32352848283016
5850081;24.874608221348318;60.32389205253555
5850090;24.915318694488054;60.32453678781317
5850104;24.978649757661614;60.32551494320866
5850110;25.005792977437896;60.325924922163274
5850111;25.010316924099524;60.3259927135066
5850112;25.014840892543585;60.32606035099385
5850113;25.0193648827207;60.326127834623605
5850114;25.023888894581525;60.326195164394335
5850115;25.028412928076726;60.32626234030466
5850119;25.046509277414117;60.32652950531224
5850120;25.051033418340865;60.32659591189847
5850121;25.055557580605853;60.3266621646156
